id,seed,type,x,y,agent_dir,path,file,step_start,step_end,event,n_maps,v_value,v_llm
000023,860,initial,4,3,3,860/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.9044,0
000024,860,worst,4,3,3,860/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.9044,0
000025,860,transition,4,4,1,860/transition_step_0002_0004_find_key.txt,transition_step_0002_0004_find_key.txt,2,4,find_key,3,0.9415,0
000026,860,intermediate,4,3,2,860/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.9135,0
000027,860,transition,4,5,0,860/transition_step_0020_0022_open_door.txt,transition_step_0020_0022_open_door.txt,20,22,open_door,3,0.9703,0
000028,860,intermediate,4,5,1,860/intermediate_step_0017_0019_open_door.txt,intermediate_step_0017_0019_open_door.txt,17,19,open_door,3,0.951,0
000029,860,transition,6,5,1,860/transition_step_0024_0026_reach_goal.txt,transition_step_0024_0026_reach_goal.txt,24,26,reach_goal,3,1.0,0
000030,860,intermediate,6,5,0,860/intermediate_step_0022_0024_reach_goal.txt,intermediate_step_0022_0024_reach_goal.txt,22,24,reach_goal,3,0.99,0
000031,860,off_track,2,1,0,860/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8775,0
000032,860,off_track,3,3,0,860/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.9135,0
000033,860,off_track,2,2,2,860/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.9044,0
000034,270,initial,1,6,3,270/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.9044,0
000035,270,worst,1,6,3,270/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.9044,0
000036,270,transition,1,6,3,270/transition_step_0000_0001_find_key.txt,transition_step_0000_0001_find_key.txt,0,1,find_key,2,0.9135,0
000037,270,transition,3,5,0,270/transition_step_0020_0022_open_door.txt,transition_step_0020_0022_open_door.txt,20,22,open_door,3,0.9606,0
000038,270,intermediate,3,5,3,270/intermediate_step_0017_0019_open_door.txt,intermediate_step_0017_0019_open_door.txt,17,19,open_door,3,0.9415,0
000039,270,transition,6,5,1,270/transition_step_0024_0026_reach_goal.txt,transition_step_0024_0026_reach_goal.txt,24,26,reach_goal,3,1.0,0
000040,270,intermediate,5,5,0,270/intermediate_step_0022_0024_reach_goal.txt,intermediate_step_0022_0024_reach_goal.txt,22,24,reach_goal,3,0.9801,0
000041,270,off_track,3,6,1,270/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8687,0
000042,270,off_track,1,3,2,270/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8953,0
000043,270,off_track,2,2,3,270/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.8953,0
000044,106,initial,3,3,0,106/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8345,0
000045,106,worst,3,3,0,106/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8345,0
000046,106,transition,1,2,3,106/transition_step_0005_0007_find_key.txt,transition_step_0005_0007_find_key.txt,5,7,find_key,3,0.8953,0
000047,106,intermediate,1,3,2,106/intermediate_step_0002_0004_find_key.txt,intermediate_step_0002_0004_find_key.txt,2,4,find_key,3,0.8687,0
000048,106,transition,3,2,0,106/transition_step_0009_0011_open_door.txt,transition_step_0009_0011_open_door.txt,9,11,open_door,3,0.9321,0
000049,106,intermediate,1,2,0,106/intermediate_step_0006_0008_open_door.txt,intermediate_step_0006_0008_open_door.txt,6,8,open_door,3,0.9044,0
000050,106,transition,6,5,1,106/transition_step_0018_0020_reach_goal.txt,transition_step_0018_0020_reach_goal.txt,18,20,reach_goal,3,1.0,0
000051,106,intermediate,6,3,1,106/intermediate_step_0016_0018_reach_goal.txt,intermediate_step_0016_0018_reach_goal.txt,16,18,reach_goal,3,0.9801,0
000052,106,off_track,2,4,1,106/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8429,0
000053,106,off_track,3,5,2,106/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8775,0
000054,106,off_track,5,2,1,106/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.951,0
000055,71,initial,1,3,2,71/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8864,0
000056,71,worst,1,3,2,71/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8864,0
000057,71,transition,2,3,0,71/transition_step_0002_0004_find_key.txt,transition_step_0002_0004_find_key.txt,2,4,find_key,3,0.9227,0
000058,71,intermediate,1,3,1,71/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.8953,0
000059,71,transition,4,3,0,71/transition_step_0005_0007_open_door.txt,transition_step_0005_0007_open_door.txt,5,7,open_door,3,0.951,0
000060,71,intermediate,2,3,0,71/intermediate_step_0002_0004_open_door.txt,intermediate_step_0002_0004_open_door.txt,2,4,open_door,3,0.9227,0
000061,71,transition,6,5,1,71/transition_step_0012_0014_reach_goal.txt,transition_step_0012_0014_reach_goal.txt,12,14,reach_goal,3,1.0,0
000062,71,intermediate,6,5,1,71/intermediate_step_0010_0012_reach_goal.txt,intermediate_step_0010_0012_reach_goal.txt,10,12,reach_goal,3,1.0,0
000063,71,off_track,3,2,2,71/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8953,0
000064,71,off_track,4,1,3,71/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8953,0
000065,71,off_track,6,2,3,71/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.951,0
000066,700,initial,1,2,1,700/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8345,0
000067,700,worst,1,2,1,700/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8345,0
000068,700,transition,1,5,1,700/transition_step_0003_0005_find_key.txt,transition_step_0003_0005_find_key.txt,3,5,find_key,3,0.8687,0
000069,700,intermediate,1,4,1,700/intermediate_step_0000_0002_find_key.txt,intermediate_step_0000_0002_find_key.txt,0,2,find_key,3,0.8515,0
000070,700,transition,1,3,0,700/transition_step_0027_0029_open_door.txt,transition_step_0027_0029_open_door.txt,27,29,open_door,3,0.9227,0
000071,700,intermediate,1,3,3,700/intermediate_step_0024_0026_open_door.txt,intermediate_step_0024_0026_open_door.txt,24,26,open_door,3,0.9044,0
000072,700,transition,6,5,1,700/transition_step_0035_0037_reach_goal.txt,transition_step_0035_0037_reach_goal.txt,35,37,reach_goal,3,1.0,0
000073,700,intermediate,6,3,1,700/intermediate_step_0033_0035_reach_goal.txt,intermediate_step_0033_0035_reach_goal.txt,33,35,reach_goal,3,0.9801,0
000074,700,off_track,1,1,0,700/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8179,0
000075,700,off_track,1,1,0,700/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8775,0
000076,700,off_track,3,2,2,700/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.9227,0
000077,20,initial,1,2,1,20/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8515,0
000078,20,worst,1,2,2,20/worst_step_0015_find_key.txt,worst_step_0015_find_key.txt,15,15,find_key,1,0.8429,0
000079,20,transition,2,2,3,20/transition_step_0195_0197_find_key.txt,transition_step_0195_0197_find_key.txt,195,197,find_key,3,0.8864,0
000080,20,intermediate,2,2,0,20/intermediate_step_0192_0194_find_key.txt,intermediate_step_0192_0194_find_key.txt,192,194,find_key,3,0.8687,0
000081,20,transition,4,5,0,20/transition_step_0272_0274_open_door.txt,transition_step_0272_0274_open_door.txt,272,274,open_door,3,0.9703,0
000082,20,intermediate,4,5,1,20/intermediate_step_0269_0271_open_door.txt,intermediate_step_0269_0271_open_door.txt,269,271,open_door,3,0.951,0
000083,20,transition,6,5,1,20/transition_step_0275_0277_reach_goal.txt,transition_step_0275_0277_reach_goal.txt,275,277,reach_goal,3,1.0,0
000084,20,intermediate,5,5,0,20/intermediate_step_0273_0275_reach_goal.txt,intermediate_step_0273_0275_reach_goal.txt,273,275,reach_goal,3,0.9801,0
000085,20,off_track,3,4,1,20/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8345,0
000086,20,off_track,3,3,3,20/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.9044,0
000087,20,off_track,6,1,3,20/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.9415,0
000088,614,initial,3,3,1,614/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8601,0
000089,614,worst,3,3,1,614/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8601,0
000090,614,transition,3,4,1,614/transition_step_0000_0002_find_key.txt,transition_step_0000_0002_find_key.txt,0,2,find_key,3,0.8775,0
000091,614,transition,3,2,0,614/transition_step_0050_0052_open_door.txt,transition_step_0050_0052_open_door.txt,50,52,open_door,3,0.9321,0
000092,614,intermediate,3,2,3,614/intermediate_step_0047_0049_open_door.txt,intermediate_step_0047_0049_open_door.txt,47,49,open_door,3,0.9135,0
000093,614,transition,6,5,1,614/transition_step_0058_0060_reach_goal.txt,transition_step_0058_0060_reach_goal.txt,58,60,reach_goal,3,1.0,0
000094,614,intermediate,6,3,1,614/intermediate_step_0056_0058_reach_goal.txt,intermediate_step_0056_0058_reach_goal.txt,56,58,reach_goal,3,0.9801,0
000095,614,off_track,1,2,2,614/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8097,0
000096,614,off_track,1,5,0,614/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8601,0
000097,614,off_track,1,5,1,614/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.8601,0
000098,121,initial,1,3,1,121/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8429,0
000099,121,worst,1,3,1,121/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8429,0
000100,121,transition,2,2,3,121/transition_step_0003_0005_find_key.txt,transition_step_0003_0005_find_key.txt,3,5,find_key,3,0.8864,0
000101,121,intermediate,2,3,0,121/intermediate_step_0000_0002_find_key.txt,intermediate_step_0000_0002_find_key.txt,0,2,find_key,3,0.8601,0
000102,121,transition,2,1,0,121/transition_step_0084_0086_open_door.txt,transition_step_0084_0086_open_door.txt,84,86,open_door,3,0.9135,0
000103,121,intermediate,2,1,3,121/intermediate_step_0081_0083_open_door.txt,intermediate_step_0081_0083_open_door.txt,81,83,open_door,3,0.8953,0
000104,121,transition,6,5,1,121/transition_step_0100_0102_reach_goal.txt,transition_step_0100_0102_reach_goal.txt,100,102,reach_goal,3,1.0,0
000105,121,intermediate,6,3,1,121/intermediate_step_0098_0100_reach_goal.txt,intermediate_step_0098_0100_reach_goal.txt,98,100,reach_goal,3,0.9801,0
000106,121,off_track,1,1,3,121/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8775,0
000107,121,off_track,2,4,0,121/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8601,0
000108,121,off_track,1,2,1,121/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.8687,0
000109,466,initial,1,5,2,466/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8345,0
000110,466,worst,1,5,1,466/worst_step_0001_find_key.txt,worst_step_0001_find_key.txt,1,1,find_key,1,0.8262,0
000111,466,transition,3,2,3,466/transition_step_0007_0009_find_key.txt,transition_step_0007_0009_find_key.txt,7,9,find_key,3,0.8953,0
000112,466,intermediate,3,4,3,466/intermediate_step_0004_0006_find_key.txt,intermediate_step_0004_0006_find_key.txt,4,6,find_key,3,0.8687,0
000113,466,transition,3,1,0,466/transition_step_0095_0097_open_door.txt,transition_step_0095_0097_open_door.txt,95,97,open_door,3,0.9227,0
000114,466,intermediate,3,1,3,466/intermediate_step_0092_0094_open_door.txt,intermediate_step_0092_0094_open_door.txt,92,94,open_door,3,0.9044,0
000115,466,transition,6,5,1,466/transition_step_0111_0113_reach_goal.txt,transition_step_0111_0113_reach_goal.txt,111,113,reach_goal,3,1.0,0
000116,466,intermediate,6,4,1,466/intermediate_step_0109_0111_reach_goal.txt,intermediate_step_0109_0111_reach_goal.txt,109,111,reach_goal,3,0.99,0
000117,466,off_track,1,3,1,466/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8429,0
000118,466,off_track,2,6,2,466/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8429,0
000119,466,off_track,1,3,1,466/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.8601,0
000120,214,initial,1,1,1,214/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8775,0
000121,214,worst,1,1,2,214/worst_step_0001_find_key.txt,worst_step_0001_find_key.txt,1,1,find_key,1,0.8687,0
000122,214,transition,1,2,1,214/transition_step_0002_0004_find_key.txt,transition_step_0002_0004_find_key.txt,2,4,find_key,3,0.8953,0
000123,214,intermediate,1,1,2,214/intermediate_step_0000_0001_find_key.txt,intermediate_step_0000_0001_find_key.txt,0,1,find_key,2,0.8687,0
000124,214,transition,1,4,0,214/transition_step_0049_0051_open_door.txt,transition_step_0049_0051_open_door.txt,49,51,open_door,3,0.9321,0
000125,214,intermediate,1,5,3,214/intermediate_step_0046_0048_open_door.txt,intermediate_step_0046_0048_open_door.txt,46,48,open_door,3,0.9044,0
000126,214,transition,6,5,1,214/transition_step_0056_0058_reach_goal.txt,transition_step_0056_0058_reach_goal.txt,56,58,reach_goal,3,1.0,0
000127,214,intermediate,6,4,0,214/intermediate_step_0054_0056_reach_goal.txt,intermediate_step_0054_0056_reach_goal.txt,54,56,reach_goal,3,0.9801,0
000128,330,initial,3,1,3,330/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8429,0
000129,330,worst,3,1,3,330/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8429,0
000130,330,transition,2,3,2,330/transition_step_0006_0008_find_key.txt,transition_step_0006_0008_find_key.txt,6,8,find_key,3,0.9044,0
000131,330,intermediate,3,3,1,330/intermediate_step_0003_0005_find_key.txt,intermediate_step_0003_0005_find_key.txt,3,5,find_key,3,0.8775,0
000132,330,transition,3,3,0,330/transition_step_0012_0014_open_door.txt,transition_step_0012_0014_open_door.txt,12,14,open_door,3,0.9415,0
000133,330,intermediate,2,3,0,330/intermediate_step_0009_0011_open_door.txt,intermediate_step_0009_0011_open_door.txt,9,11,open_door,3,0.9227,0
000134,330,transition,6,5,1,330/transition_step_0020_0022_reach_goal.txt,transition_step_0020_0022_reach_goal.txt,20,22,reach_goal,3,1.0,0
000135,330,intermediate,6,3,1,330/intermediate_step_0018_0020_reach_goal.txt,intermediate_step_0018_0020_reach_goal.txt,18,20,reach_goal,3,0.9801,0
000136,330,off_track,2,5,1,330/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8515,0
000137,330,off_track,3,5,0,330/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8953,0
000138,330,off_track,1,4,3,330/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.9044,0
000139,458,initial,1,5,1,458/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8262,0
000140,458,worst,1,5,1,458/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8262,0
000141,458,transition,2,2,3,458/transition_step_0006_0008_find_key.txt,transition_step_0006_0008_find_key.txt,6,8,find_key,3,0.8864,0
000142,458,intermediate,2,4,3,458/intermediate_step_0003_0005_find_key.txt,intermediate_step_0003_0005_find_key.txt,3,5,find_key,3,0.8601,0
000143,458,transition,2,4,0,458/transition_step_0020_0022_open_door.txt,transition_step_0020_0022_open_door.txt,20,22,open_door,3,0.9415,0
000144,458,intermediate,2,4,1,458/intermediate_step_0017_0019_open_door.txt,intermediate_step_0017_0019_open_door.txt,17,19,open_door,3,0.9227,0
000145,458,transition,6,5,1,458/transition_step_0028_0030_reach_goal.txt,transition_step_0028_0030_reach_goal.txt,28,30,reach_goal,3,1.0,0
000146,458,intermediate,6,4,0,458/intermediate_step_0026_0028_reach_goal.txt,intermediate_step_0026_0028_reach_goal.txt,26,28,reach_goal,3,0.9801,0
000147,458,off_track,1,3,2,458/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8345,0
000148,458,off_track,2,5,0,458/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.9044,0
000149,458,off_track,4,1,2,458/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.9227,0
000150,87,initial,3,4,0,87/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8601,0
000151,87,worst,3,4,0,87/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8601,0
000152,87,transition,1,4,3,87/transition_step_0047_0049_find_key.txt,transition_step_0047_0049_find_key.txt,47,49,find_key,3,0.9135,0
000153,87,intermediate,1,4,2,87/intermediate_step_0044_0046_find_key.txt,intermediate_step_0044_0046_find_key.txt,44,46,find_key,3,0.8953,0
000154,87,transition,3,4,0,87/transition_step_0051_0053_open_door.txt,transition_step_0051_0053_open_door.txt,51,53,open_door,3,0.951,0
000155,87,intermediate,1,4,0,87/intermediate_step_0048_0050_open_door.txt,intermediate_step_0048_0050_open_door.txt,48,50,open_door,3,0.9227,0
000156,87,transition,6,5,1,87/transition_step_0056_0058_reach_goal.txt,transition_step_0056_0058_reach_goal.txt,56,58,reach_goal,3,1.0,0
000157,87,intermediate,6,4,0,87/intermediate_step_0054_0056_reach_goal.txt,intermediate_step_0054_0056_reach_goal.txt,54,56,reach_goal,3,0.9801,0
000158,87,off_track,1,1,2,87/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8687,0
000159,87,off_track,1,6,0,87/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8864,0
000160,87,off_track,5,4,1,87/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.9703,0
000161,372,initial,2,4,2,372/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8687,0
000162,372,worst,2,4,2,372/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8687,0
000163,372,transition,3,4,3,372/transition_step_0111_0113_find_key.txt,transition_step_0111_0113_find_key.txt,111,113,find_key,3,0.9135,0
000164,372,intermediate,3,4,2,372/intermediate_step_0108_0110_find_key.txt,intermediate_step_0108_0110_find_key.txt,108,110,find_key,3,0.8953,0
000165,372,transition,3,5,0,372/transition_step_0152_0154_open_door.txt,transition_step_0152_0154_open_door.txt,152,154,open_door,3,0.9606,0
000166,372,intermediate,3,5,0,372/intermediate_step_0149_0151_open_door.txt,intermediate_step_0149_0151_open_door.txt,149,151,open_door,3,0.951,0
000167,372,transition,6,5,1,372/transition_step_0158_0160_reach_goal.txt,transition_step_0158_0160_reach_goal.txt,158,160,reach_goal,3,1.0,0
000168,372,intermediate,5,5,0,372/intermediate_step_0156_0158_reach_goal.txt,intermediate_step_0156_0158_reach_goal.txt,156,158,reach_goal,3,0.9801,0
000169,372,off_track,3,1,1,372/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8953,0
000170,372,off_track,1,5,2,372/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.9135,0
000171,372,off_track,6,1,2,372/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.951,0
000172,99,initial,2,6,2,99/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8179,0
000173,99,worst,2,6,2,99/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8179,0
000174,99,transition,3,3,3,99/transition_step_0007_0009_find_key.txt,transition_step_0007_0009_find_key.txt,7,9,find_key,3,0.8864,0
000175,99,intermediate,3,5,3,99/intermediate_step_0004_0006_find_key.txt,intermediate_step_0004_0006_find_key.txt,4,6,find_key,3,0.8601,0
000176,99,transition,4,1,0,99/transition_step_0037_0039_open_door.txt,transition_step_0037_0039_open_door.txt,37,39,open_door,3,0.9321,0
000177,99,intermediate,4,1,1,99/intermediate_step_0034_0036_open_door.txt,intermediate_step_0034_0036_open_door.txt,34,36,open_door,3,0.9135,0
000178,99,transition,6,5,1,99/transition_step_0045_0047_reach_goal.txt,transition_step_0045_0047_reach_goal.txt,45,47,reach_goal,3,1.0,0
000179,99,intermediate,6,3,1,99/intermediate_step_0043_0045_reach_goal.txt,intermediate_step_0043_0045_reach_goal.txt,43,45,reach_goal,3,0.9801,0
000180,99,off_track,1,6,3,99/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8179,0
000181,99,off_track,1,2,1,99/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8601,0
000182,99,off_track,1,4,3,99/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.8687,0
000183,871,initial,1,4,3,871/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8864,0
000184,871,worst,1,4,3,871/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8864,0
000185,871,transition,1,3,3,871/transition_step_0001_0003_find_key.txt,transition_step_0001_0003_find_key.txt,1,3,find_key,3,0.9044,0
000186,871,transition,1,3,0,871/transition_step_0005_0007_open_door.txt,transition_step_0005_0007_open_door.txt,5,7,open_door,3,0.9227,0
000187,871,intermediate,1,3,3,871/intermediate_step_0002_0004_open_door.txt,intermediate_step_0002_0004_open_door.txt,2,4,open_door,3,0.9044,0
000188,871,transition,6,5,1,871/transition_step_0015_0017_reach_goal.txt,transition_step_0015_0017_reach_goal.txt,15,17,reach_goal,3,1.0,0
000189,871,intermediate,6,3,1,871/intermediate_step_0013_0015_reach_goal.txt,intermediate_step_0013_0015_reach_goal.txt,13,15,reach_goal,3,0.9801,0
000190,871,off_track,1,5,1,871/off_track/off_track_step_0000_find_key.txt,off_track_step_0000_find_key.txt,0,0,find_key,3,0.8601,0
000191,871,off_track,1,6,1,871/off_track/off_track_step_0000_open_door.txt,off_track_step_0000_open_door.txt,0,0,open_door,3,0.8601,0
000192,871,off_track,4,1,0,871/off_track/off_track_step_0000_reach_goal.txt,off_track_step_0000_reach_goal.txt,0,0,reach_goal,3,0.9321,0
000193,663,initial,3,2,1,663/initial_step_0000_find_key.txt,initial_step_0000_find_key.txt,0,0,find_key,1,0.8687,0
000194,663,worst,3,2,1,663/worst_step_0000_find_key.txt,worst_step_0000_find_key.txt,0,0,find_key,1,0.8687,0
000195,663,transition,2,2,2,663/transition_step_0001_0003_find_key.txt,transition_step_0001_0003_find_key.txt,1,3,find_key,3,0.8953,0
